Model,Readout Train Data,Readout Test Data,Train Accuracy,Test Accuracy,Readout Type,Predicted Prob,Predicted Outcome,Actual Outcome,Stimulus Name,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.68989744 0.31010256],0,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.73766828 0.26233172],0,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.5104137 0.4895863],0,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.72326483 0.27673517],0,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.53084847 0.46915153],0,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.64955789 0.35044211],0,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.4500843 0.5499157],1,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.38222852 0.61777148],1,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.59140995 0.40859005],0,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.27416277 0.72583723],1,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.57493871 0.42506129],0,1,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.08838963 0.91161037],1,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.55494701 0.44505299],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.87457132 0.12542868],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.26064097 0.73935903],1,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.84972965 0.15027035],0,1,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.8327827 0.1672173],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.58960771 0.41039229],0,1,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.5413976 0.4586024],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.63193317 0.36806683],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.86278027 0.13721973],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.94730647 0.05269353],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.69487246 0.30512754],0,0,pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.92177626 0.07822374],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.96696115 0.03303885],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.79205625 0.20794375],0,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.71466219 0.28533781],0,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.47071354 0.52928646],1,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.73355483 0.26644517],0,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.58331729 0.41668271],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.9195206 0.0804794],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.88286903 0.11713097],0,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.46577656 0.53422344],1,1,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.65180403 0.34819597],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.8912604 0.1087396],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.54083211 0.45916789],0,0,pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.04463943 0.95536057],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.2103508 0.7896492],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.53561782 0.46438218],0,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.0934219 0.9065781],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.20988611 0.79011389],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.37052454 0.62947546],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.44144223 0.55855777],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.24745766 0.75254234],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.17267703 0.82732297],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.1450299 0.8549701],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.24910699 0.75089301],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.47119287 0.52880713],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.3084593 0.6915407],1,0,pilot_it2_rollingSliding_simple_ledge_box-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.20443402 0.79556598],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.14093221 0.85906779],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.25836179 0.74163821],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.37771164 0.62228836],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.37945882 0.62054118],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.17530567 0.82469433],1,1,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.51412782 0.48587218],0,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.28878295 0.71121705],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.35806648 0.64193352],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.22433135 0.77566865],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.30505162 0.69494838],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.49594402 0.50405598],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.30785366 0.69214634],1,0,pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.37887599 0.62112401],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.19861442 0.80138558],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.15777096 0.84222904],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.04371098 0.95628902],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.22533236 0.77466764],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.46582034 0.53417966],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.56100709 0.43899291],0,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.23704816 0.76295184],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.29488782 0.70511218],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.26000597 0.73999403],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.29037705 0.70962295],1,0,pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
