scenario,ratio,diff,human_correct,model_correct,Model,Readout Train Data,Readout Type,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed,ModelID,Model Kind,Visual encoder architecture,Dynamics model architecture,ObjectCentric,Supervised,SelfSupervisedLossSelfSupervisedLoss,Encoder Training Dataset Type,Dynamics Training Dataset Type,Readout Train Data Type
clothiness,0.8490754290275375,-0.10220720720720722,0.6772072072072072,0.575,OP3,clothiness,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,clothiness,0.0,Image Reconstruction,clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_clothiness_Image Reconstruction_0_clothiness_readout_C_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
clothiness,0.7530929892244247,-0.16720720720720716,0.6772072072072072,0.51,OP3,clothiness,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_clothiness,0.0,Image Reconstruction,no_clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_clothiness_Image Reconstruction_0_no_clothiness_readout_A_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.7309431954237063,-0.18220720720720718,0.6772072072072072,0.495,OP3,clothiness,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_clothiness,0.0,Image Reconstruction,no_clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_clothiness_Image Reconstruction_0_no_clothiness_readout_B_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.7973925768258615,-0.13720720720720714,0.6772072072072072,0.54,OP3,clothiness,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_clothiness,0.0,Image Reconstruction,no_clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_clothiness_Image Reconstruction_0_no_clothiness_readout_C_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.856458693627777,-0.09720720720720721,0.6772072072072072,0.58,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_A_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
clothiness,0.8933750166289743,-0.07220720720720719,0.6772072072072072,0.605,RPIN,clothiness,B,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_B_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
clothiness,0.8933750166289743,-0.07220720720720719,0.6772072072072072,0.605,RPIN,clothiness,C,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_C_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
clothiness,0.8933750166289743,-0.07220720720720719,0.6772072072072072,0.605,RPIN,clothiness,D,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_D_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
clothiness,0.871225222828256,-0.0872072072072072,0.6772072072072072,0.59,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,clothiness,0.0,L2 on 2D position,clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_clothiness_L2 on 2D position_0_clothiness_readout_A_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_same_L2 on 2D position_0_same,Neither,Neither,,True,NA,same,same,same
clothiness,0.9081415458294533,-0.06220720720720718,0.6772072072072072,0.615,RPIN,clothiness,B,R-CNN,Interaction Network,,,,L2 on 2D position,clothiness,0.0,L2 on 2D position,clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_clothiness_L2 on 2D position_0_clothiness_readout_B_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_same_L2 on 2D position_0_same,Neither,Neither,,True,NA,same,same,same
clothiness,0.8786084874284954,-0.0822072072072072,0.6772072072072072,0.595,RPIN,clothiness,C,R-CNN,Interaction Network,,,,L2 on 2D position,clothiness,0.0,L2 on 2D position,clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_clothiness_L2 on 2D position_0_clothiness_readout_C_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_same_L2 on 2D position_0_same,Neither,Neither,,True,NA,same,same,same
clothiness,0.8786084874284954,-0.0822072072072072,0.6772072072072072,0.595,RPIN,clothiness,D,R-CNN,Interaction Network,,,,L2 on 2D position,clothiness,0.0,L2 on 2D position,clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_clothiness_L2 on 2D position_0_clothiness_readout_D_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_same_L2 on 2D position_0_same,Neither,Neither,,True,NA,same,same,same
clothiness,0.8416921644272981,-0.10720720720720722,0.6772072072072072,0.57,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,no_clothiness,0.0,L2 on 2D position,no_clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_no_clothiness_L2 on 2D position_0_no_clothiness_readout_A_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_but_this_L2 on 2D position_0_same,Neither,Neither,,True,NA,all_but_this,all_but_this,same
clothiness,0.9524411334308901,-0.032207207207207156,0.6772072072072072,0.645,RPIN,clothiness,B,R-CNN,Interaction Network,,,,L2 on 2D position,no_clothiness,0.0,L2 on 2D position,no_clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_no_clothiness_L2 on 2D position_0_no_clothiness_readout_B_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_but_this_L2 on 2D position_0_same,Neither,Neither,,True,NA,all_but_this,all_but_this,same
clothiness,0.9302913396301716,-0.04720720720720717,0.6772072072072072,0.63,RPIN,clothiness,C,R-CNN,Interaction Network,,,,L2 on 2D position,no_clothiness,0.0,L2 on 2D position,no_clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_no_clothiness_L2 on 2D position_0_no_clothiness_readout_C_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_but_this_L2 on 2D position_0_same,Neither,Neither,,True,NA,all_but_this,all_but_this,same
clothiness,0.9302913396301716,-0.04720720720720717,0.6772072072072072,0.63,RPIN,clothiness,D,R-CNN,Interaction Network,,,,L2 on 2D position,no_clothiness,0.0,L2 on 2D position,no_clothiness,0,RPIN_R-CNN_0.0_L2 on 2D position_no_clothiness_L2 on 2D position_0_no_clothiness_readout_D_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_but_this_L2 on 2D position_0_same,Neither,Neither,,True,NA,all_but_this,all_but_this,same
clothiness,0.775242783025143,-0.15220720720720715,0.6772072072072072,0.525,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,all,1.0,L2 on 2D position,all,1,RPIN_R-CNN_1.0_L2 on 2D position_all_L2 on 2D position_1_all_readout_A_clothiness_per_example_rpin_seed_1_2.csv,RPIN_R-CNN_1.0_L2 on 2D position_all_L2 on 2D position_1_same,Neither,Neither,,True,NA,all,all,same
